,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,P6016,P1894,P6020,P6034,P6040,P6051,P5502,P6071,P6071S1,P756,P756S1,P756S2,P756S3,P3510,P3510S1,P3510S1A1,P3510S1A2,P3510S1A3,P3510S1A4,P3510S1A5,P3510S1A6,P3510S1A7,P3510S1A8,P3510S1A9,P3510S1A10,P3510S1A11,P3510S2,P3510S2A1,P3510S2A2,P3510S2A3,P3510S2A4,P3510S2A5,P3510S2A6,P3510S2A7,P3510S2A8,P3510S2A9,P3510S2A10,P3510S2A11,P6074,P755,P755S1,P755S2,P755S3,P754,P753,P753S1,P753S2,P753S3,P752,P1662,P6081,P6081S1,P6087,P6083,P6083S1,P6088,P6080,P2057,P2059,P2061,P1895,P1896,P1897,P1898,P1899,P3175,P1901,P1903,P1904,P1905,P1927,P3038,P3039
201622,8466696,2,1,2,"438,9105668",2,3,2,1,64,2,6.0,1.0,1.0,2,73.0,73483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,8.0,3,,2.0,6,2.0,2.0,2.0,9.0,99.0,9.0,7.0,10.0,10.0,10.0,0.0,0.0,10.0,9.0,1.0,2.0
201628,8466698,1,1,1,"10,75693154",1,3,1,1,67,1,2.0,1.0,2.0,2,25.0,25841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,10.0,3,,3.0,6,1.0,,1.0,8.0,2.0,7.0,7.0,7.0,8.0,10.0,1.0,1.0,10.0,10.0,2.0,1.0
201646,8466705,1,1,1,"13,15109029",1,3,1,1,64,1,6.0,1.0,2.0,2,76.0,76736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,10.0,2,,2.0,6,2.0,2.0,1.0,10.0,7.0,10.0,8.0,9.0,10.0,10.0,0.0,0.0,10.0,8.0,2.0,1.0
201647,8466705,2,1,2,"13,15109029",2,3,2,1,60,2,6.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,2.0,3,,2.0,6,2.0,2.0,1.0,10.0,99.0,10.0,10.0,10.0,8.0,10.0,0.0,0.0,10.0,10.0,1.0,2.0
201649,8466706,2,1,2,"13,15109029",2,3,2,1,69,2,6.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,2.0,3.0,3,,10.0,3,,3.0,6,1.0,,1.0,10.0,2.0,8.0,8.0,8.0,8.0,9.0,3.0,0.0,10.0,9.0,1.0,2.0
202901,8467287,1,1,1,"460,9003225",1,3,1,1,73,1,3.0,,,2,25.0,25320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,10.0,3,,1.0,6,2.0,1.0,2.0,10.0,8.0,7.0,10.0,8.0,10.0,6.0,3.0,0.0,10.0,10.0,2.0,1.0
203615,8467600,1,1,1,"197,8935541",1,3,2,1,31,1,4.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,9.0,2,,1.0,6,1.0,,1.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,0.0,0.0,9.0,9.0,1.0,2.0
203927,8467729,1,1,1,"82,34706492",1,3,2,1,35,1,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,3.0,2,,3.0,6,1.0,,1.0,8.0,3.0,8.0,10.0,10.0,8.0,4.0,3.0,0.0,10.0,7.0,1.0,2.0
205437,8468333,1,1,1,"90,75181982",1,3,2,1,25,1,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,3,,10.0,2,,2.0,5,2.0,2.0,2.0,10.0,5.0,10.0,10.0,6.0,1.0,9.0,7.0,0.0,9.0,8.0,1.0,2.0
205439,8468335,1,1,1,"141,0971183",1,11,2,1,20,1,5.0,,,3,,,3.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,3.0,,3.0,11.0,11001.0,,1.0,1.0,2,,4.0,2,,4.0,6,2.0,2.0,2.0,7.0,8.0,10.0,9.0,7.0,6.0,8.0,6.0,2.0,8.0,6.0,1.0,2.0
205440,8468336,1,1,1,"90,75181982",1,9,2,1,26,1,5.0,,,3,,,3.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,3.0,,3.0,11.0,11001.0,,1.0,1.0,2,,1.0,2,,1.0,6,2.0,9.0,2.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,5.0,1.0,2.0
208097,8469571,2,1,2,"133,9070374",2,3,1,1,21,3,5.0,,,2,44.0,44378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,2.0,3.0,11.0,11001.0,,2.0,8.0,2,,4.0,1,1.0,,1,1.0,,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,8.0,2.0,1.0
208740,8469795,1,1,1,"253,0076262",1,3,2,1,44,1,4.0,,,2,20.0,20060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,2.0,2,,1.0,6,2.0,1.0,2.0,7.0,5.0,4.0,10.0,8.0,3.0,10.0,7.0,0.0,10.0,8.0,1.0,2.0
209444,8470124,1,1,1,"16,49967024",1,3,2,1,39,1,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,8.0,2,,8.0,6,2.0,2.0,2.0,7.0,6.0,8.0,8.0,7.0,8.0,7.0,3.0,2.0,7.0,8.0,1.0,2.0
209935,8470297,1,1,1,"165,1538209",1,3,1,1,36,1,2.0,1.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,8.0,2,,8.0,6,2.0,2.0,2.0,9.0,9.0,8.0,9.0,9.0,7.0,9.0,0.0,0.0,10.0,10.0,2.0,1.0
209936,8470297,2,1,2,"165,1538209",2,3,2,1,36,2,2.0,1.0,1.0,2,73.0,73001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,8.0,2,,8.0,6,2.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,10.0,9.0,1.0,2.0
212649,8471486,2,1,2,"139,3400705",2,3,2,1,30,2,1.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,1.0,2,,3.0,6,1.0,,1.0,10.0,99.0,10.0,10.0,8.0,8.0,10.0,3.0,5.0,7.0,7.0,1.0,2.0
212675,8471497,1,1,1,"139,3400705",1,3,1,1,29,1,6.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,1.0,3,,3.0,6,2.0,2.0,1.0,8.0,8.0,5.0,10.0,10.0,8.0,8.0,0.0,0.0,10.0,5.0,2.0,1.0
212676,8471497,2,1,2,"139,3400705",2,3,2,1,32,2,6.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,4.0,2,,2.0,6,2.0,2.0,1.0,10.0,7.0,10.0,10.0,10.0,10.0,7.0,5.0,0.0,10.0,10.0,1.0,2.0
214310,8476061,5,1,5,"78,96288499",5,3,2,1,67,6,5.0,,,2,19.0,19142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,1.0,3,,1.0,6,2.0,1.0,9.0,6.0,5.0,7.0,6.0,6.0,6.0,6.0,2.0,2.0,6.0,6.0,1.0,2.0
216456,8477169,1,1,1,"19,19621935",1,3,1,1,30,1,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,2.0,2,,5.0,2,,4.0,6,2.0,2.0,2.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,2.0,2.0,7.0,8.0,2.0,1.0
217906,8477780,1,1,1,"37,40435165",1,3,2,1,60,1,4.0,,,2,76.0,76001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,3,,1.0,3,,3.0,6,2.0,2.0,2.0,10.0,9.0,10.0,10.0,10.0,7.0,10.0,0.0,0.0,10.0,10.0,1.0,2.0
220289,8478837,1,1,1,"16,39294804",1,3,2,1,26,1,5.0,,,2,41.0,41001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,4.0,2,,4.0,6,2.0,2.0,2.0,10.0,8.0,7.0,8.0,8.0,8.0,10.0,0.0,0.0,9.0,7.0,1.0,2.0
221735,8479692,1,1,1,"26,94339036",1,3,1,1,70,1,4.0,,,2,73.0,73001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,10.0,3,,1.0,2,,1.0,6,1.0,,1.0,8.0,8.0,6.0,9.0,7.0,8.0,10.0,3.0,4.0,10.0,10.0,2.0,1.0
221995,8479811,1,1,1,"9,355693855",1,3,2,1,65,1,4.0,,,2,63.0,63001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,2.0,3.0,11.0,11001.0,,2.0,11.0,3,,4.0,3,,4.0,6,2.0,2.0,2.0,8.0,10.0,10.0,8.0,9.0,9.0,8.0,0.0,0.0,8.0,9.0,1.0,2.0
222016,8479819,1,1,1,"234,612817",1,3,2,2,43,1,5.0,,,2,18.0,18247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,10.0,1,3.0,,6,1.0,,2.0,5.0,2.0,7.0,8.0,3.0,4.0,4.0,9.0,6.0,10.0,6.0,1.0,2.0
222018,8479819,3,1,3,"234,612817",3,3,2,2,73,5,5.0,,,2,73.0,73411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,1.0,3,,1.0,6,2.0,2.0,2.0,6.0,8.0,7.0,8.0,8.0,8.0,8.0,0.0,3.0,2.0,6.0,2.0,1.0
222276,8479936,1,1,1,"63,72721157",1,3,2,1,44,1,4.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,1.0,2,,1.0,6,1.0,,1.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,8.0,8.0,1.0,2.0
223856,8480765,1,1,1,"5,469911234",1,3,2,1,26,1,5.0,,,2,13.0,13001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,8.0,2,,8.0,6,2.0,2.0,2.0,10.0,8.0,10.0,10.0,8.0,8.0,7.0,3.0,1.0,10.0,8.0,1.0,2.0
224107,8480947,1,1,1,"6,38718057",1,3,1,1,37,1,2.0,2.0,,2,99.0,99001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,2.0,3.0,11.0,11001.0,,1.0,1.0,2,,9.0,3,,1.0,6,1.0,,1.0,8.0,7.0,6.0,7.0,8.0,7.0,7.0,0.0,0.0,8.0,8.0,2.0,1.0
224852,8481322,1,1,1,"594,3527601",1,3,1,1,69,1,6.0,1.0,2.0,2,68.0,68081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,5.0,3,,4.0,3,,4.0,6,2.0,2.0,2.0,10.0,10.0,8.0,7.0,10.0,10.0,8.0,2.0,0.0,10.0,9.0,2.0,1.0
224853,8481322,2,1,2,"594,3527601",2,3,2,1,65,2,6.0,1.0,1.0,2,68.0,68081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,4.0,2,,4.0,6,2.0,2.0,2.0,9.0,99.0,9.0,8.0,8.0,10.0,8.0,2.0,0.0,10.0,9.0,1.0,2.0
224854,8481322,3,1,3,"594,3527601",3,3,2,1,44,3,4.0,,,2,68.0,68081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,1,1.0,,1,2.0,,6,2.0,2.0,2.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0,1.0,0.0,10.0,9.0,1.0,2.0
225282,8481836,2,1,2,"139,3400705",2,3,2,1,25,3,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,2.0,3.0,11.0,11001.0,,1.0,8.0,2,,1.0,1,1.0,,6,2.0,2.0,1.0,10.0,7.0,8.0,8.0,7.0,10.0,6.0,5.0,0.0,10.0,8.0,1.0,2.0
229512,8484636,2,1,2,"14,89186542",2,3,2,1,39,2,2.0,1.0,1.0,2,5.0,5756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,9.0,2,,9.0,6,2.0,2.0,2.0,10.0,10.0,4.0,7.0,10.0,10.0,7.0,5.0,5.0,10.0,5.0,1.0,2.0
233482,8488630,1,1,1,"10,54781737",1,3,1,2,18,1,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,3.0,3,,1.0,6,2.0,2.0,2.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,2.0,1.0
233678,8488769,1,1,1,"30,30982003",1,3,1,1,31,1,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,4.0,2,,4.0,6,2.0,2.0,2.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,4.0,1.0,8.0,7.0,2.0,1.0
