,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,P6016,P1894,P6020,P6034,P6040,P6051,P5502,P6071,P6071S1,P756,P756S1,P756S2,P756S3,P3510,P3510S1,P3510S1A1,P3510S1A2,P3510S1A3,P3510S1A4,P3510S1A5,P3510S1A6,P3510S1A7,P3510S1A8,P3510S1A9,P3510S1A10,P3510S1A11,P3510S2,P3510S2A1,P3510S2A2,P3510S2A3,P3510S2A4,P3510S2A5,P3510S2A6,P3510S2A7,P3510S2A8,P3510S2A9,P3510S2A10,P3510S2A11,P6074,P755,P755S1,P755S2,P755S3,P754,P753,P753S1,P753S2,P753S3,P752,P1662,P6081,P6081S1,P6087,P6083,P6083S1,P6088,P6080,P2057,P2059,P2061,P1895,P1896,P1897,P1898,P1899,P3175,P1901,P1903,P1904,P1905,P1927,P3038,P3039
98446,8415819,1,1,1,"468,0864373",1,3,1,1,41,1,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,3,,6.0,1,2.0,,6,2.0,2.0,2.0,10.0,7.0,8.0,8.0,8.0,8.0,10.0,0.0,0.0,8.0,6.0,2.0,1.0
98447,8415819,2,1,2,"468,0864373",2,3,2,1,65,5,3.0,,,2,76.0,76520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,7.0,3,,10.0,3,,10.0,6,2.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,8.0,1.0,2.0
98754,8415943,3,1,3,"33,3597325",3,3,2,1,30,3,5.0,,,2,17.0,17001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,1.0,1,2.0,,6,2.0,2.0,1.0,9.0,99.0,9.0,9.0,5.0,8.0,8.0,4.0,1.0,10.0,5.0,1.0,2.0
100704,8416743,1,1,1,"426,0442002",1,3,1,1,67,1,3.0,,,2,68.0,68179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,9.0,3,,1.0,6,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,4.0,7.0,3.0,2.0,4.0,4.0,2.0,1.0
100705,8416743,2,1,2,"426,0442002",2,3,1,1,38,3,5.0,,,2,68.0,68190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,1,1.0,,3,,9.0,6,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,1.0
102125,8417301,1,1,1,"60,53425371",1,3,2,1,28,1,6.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,1.0,2,,1.0,6,2.0,2.0,1.0,8.0,8.0,10.0,8.0,10.0,10.0,8.0,0.0,10.0,8.0,8.0,1.0,2.0
102126,8417301,2,1,2,"60,53425371",2,3,1,1,27,2,6.0,1.0,1.0,2,50.0,50313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,10.0,2,,10.0,6,2.0,2.0,1.0,10.0,6.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,2.0,1.0
103350,8417757,1,1,1,"41,88049319",1,3,1,1,34,1,4.0,,,2,8.0,8001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,8.0,8001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,9.0,2,,2.0,6,2.0,2.0,2.0,6.0,4.0,8.0,8.0,4.0,7.0,6.0,5.0,6.0,9.0,6.0,2.0,1.0
105921,8418817,1,1,1,"334,5329916",1,5,1,1,34,1,2.0,1.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,3.0,,3.0,11.0,11001.0,,1.0,1.0,2,,10.0,2,,10.0,6,2.0,2.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,10.0,10.0,2.0,1.0
105922,8418817,2,1,2,"334,5329916",2,5,2,1,33,2,2.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,3.0,,3.0,11.0,11001.0,,1.0,8.0,2,,10.0,2,,10.0,6,2.0,2.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,9.0,9.0,1.0,2.0
